Dataset,Image Size,Models,Fusion Method,Projection Dim,Epochs,Val Accuracy,Val AUC-ROC,Test Accuracy,Test AUC-ROC
dermamnist,224,"BioMedCLIP,PubMedCLIP,rad-dino,Prov-GigaPath",concat,0,1,0.832,0.957,0.829,0.960,0.895
dermamnist,224,"BioMedCLIP,PubMedCLIP,rad-dino,CheXagent",concat,0,1,0.844,0.963,0.834,0.960,0.903
dermamnist,224,"BioMedCLIP,PubMedCLIP,UNI,Hibou-B",concat,0,1,0.844,0.958,0.829,0.955,0.901
dermamnist,224,"BioMedCLIP,PubMedCLIP,UNI,Prov-GigaPath",concat,0,1,0.833,0.960,0.830,0.965,0.898
dermamnist,224,"BioMedCLIP,PubMedCLIP,UNI,CheXagent",concat,0,1,0.853,0.966,0.840,0.964,0.908
dermamnist,224,"BioMedCLIP,PubMedCLIP,Hibou-B,Prov-GigaPath",concat,0,1,0.834,0.960,0.831,0.965,0.898
dermamnist,224,"BioMedCLIP,PubMedCLIP,Hibou-B,CheXagent",concat,0,1,0.855,0.964,0.839,0.964,0.908
dermamnist,224,"BioMedCLIP,PubMedCLIP,Prov-GigaPath,CheXagent",concat,0,1,0.849,0.964,0.836,0.963,0.905
dermamnist,224,"BioMedCLIP,rad-dino,UNI,Hibou-B",concat,0,1,0.836,0.963,0.822,0.961,0.900
dermamnist,224,"BioMedCLIP,rad-dino,UNI,Prov-GigaPath",concat,0,1,0.831,0.963,0.832,0.963,0.897
dermamnist,224,"BioMedCLIP,rad-dino,UNI,CheXagent",concat,0,1,0.846,0.966,0.840,0.965,0.905
dermamnist,224,"BioMedCLIP,rad-dino,Hibou-B,Prov-GigaPath",concat,0,1,0.835,0.962,0.827,0.961,0.899
dermamnist,224,"BioMedCLIP,rad-dino,Hibou-B,CheXagent",concat,0,1,0.860,0.968,0.835,0.965,0.911
dermamnist,224,"BioMedCLIP,rad-dino,Prov-GigaPath,CheXagent",concat,0,1,0.850,0.964,0.842,0.965,0.906
dermamnist,224,"BioMedCLIP,UNI,Hibou-B,Prov-GigaPath",concat,0,1,0.841,0.966,0.836,0.965,0.903
dermamnist,224,"BioMedCLIP,UNI,Hibou-B,CheXagent",concat,0,1,0.866,0.969,0.841,0.966,0.914
dermamnist,224,"BioMedCLIP,UNI,Prov-GigaPath,CheXagent",concat,0,1,0.863,0.970,0.841,0.966,0.913
dermamnist,224,"BioMedCLIP,Hibou-B,Prov-GigaPath,CheXagent",concat,0,1,0.863,0.966,0.841,0.966,0.912
dermamnist,224,"CONCH,PubMedCLIP,rad-dino,UNI",concat,0,1,0.804,0.952,0.817,0.954,0.882
dermamnist,224,"CONCH,PubMedCLIP,rad-dino,Hibou-B",concat,0,1,0.808,0.960,0.814,0.954,0.887
dermamnist,224,"CONCH,PubMedCLIP,rad-dino,Prov-GigaPath",concat,0,1,0.826,0.956,0.820,0.954,0.892
dermamnist,224,"CONCH,PubMedCLIP,rad-dino,CheXagent",concat,0,1,0.836,0.961,0.822,0.956,0.899
dermamnist,224,"CONCH,PubMedCLIP,UNI,Hibou-B",concat,0,1,0.833,0.961,0.825,0.956,0.898
dermamnist,224,"CONCH,PubMedCLIP,UNI,Prov-GigaPath",concat,0,1,0.831,0.957,0.821,0.961,0.895
dermamnist,224,"CONCH,PubMedCLIP,UNI,CheXagent",concat,0,1,0.843,0.966,0.835,0.958,0.904
dermamnist,224,"CONCH,PubMedCLIP,Hibou-B,Prov-GigaPath",concat,0,1,0.827,0.963,0.823,0.960,0.896
dermamnist,224,"CONCH,PubMedCLIP,Hibou-B,CheXagent",concat,0,1,0.847,0.963,0.827,0.961,0.904
dermamnist,224,"CONCH,PubMedCLIP,Prov-GigaPath,CheXagent",concat,0,1,0.848,0.967,0.839,0.961,0.906
dermamnist,224,"CONCH,rad-dino,UNI,Hibou-B",concat,0,1,0.826,0.958,0.815,0.958,0.893
dermamnist,224,"CONCH,rad-dino,UNI,Prov-GigaPath",concat,0,1,0.836,0.960,0.825,0.960,0.899
dermamnist,224,"CONCH,rad-dino,UNI,CheXagent",concat,0,1,0.849,0.967,0.835,0.958,0.907
dermamnist,224,"CONCH,rad-dino,Hibou-B,Prov-GigaPath",concat,0,1,0.830,0.961,0.824,0.959,0.896
dermamnist,224,"CONCH,rad-dino,Hibou-B,CheXagent",concat,0,1,0.851,0.967,0.822,0.959,0.908
dermamnist,224,"CONCH,rad-dino,Prov-GigaPath,CheXagent",concat,0,1,0.841,0.967,0.836,0.958,0.903
dermamnist,224,"CONCH,UNI,Hibou-B,Prov-GigaPath",concat,0,1,0.842,0.966,0.826,0.962,0.903
dermamnist,224,"CONCH,UNI,Hibou-B,CheXagent",concat,0,1,0.863,0.965,0.835,0.958,0.912
dermamnist,224,"CONCH,UNI,Prov-GigaPath,CheXagent",concat,0,1,0.850,0.968,0.840,0.962,0.907
dermamnist,224,"CONCH,Hibou-B,Prov-GigaPath,CheXagent",concat,0,1,0.860,0.970,0.835,0.963,0.912
dermamnist,224,"PubMedCLIP,rad-dino,UNI,Hibou-B",concat,0,1,0.816,0.958,0.817,0.956,0.889
dermamnist,224,"PubMedCLIP,rad-dino,UNI,Prov-GigaPath",concat,0,1,0.834,0.958,0.821,0.959,0.897
dermamnist,224,"PubMedCLIP,rad-dino,UNI,CheXagent",concat,0,1,0.848,0.961,0.826,0.957,0.904
dermamnist,224,"PubMedCLIP,rad-dino,Hibou-B,Prov-GigaPath",concat,0,1,0.829,0.958,0.828,0.960,0.895
dermamnist,224,"PubMedCLIP,rad-dino,Hibou-B,CheXagent",concat,0,1,0.854,0.965,0.835,0.959,0.908
dermamnist,224,"PubMedCLIP,rad-dino,Prov-GigaPath,CheXagent",concat,0,1,0.847,0.965,0.835,0.959,0.905
dermamnist,224,"PubMedCLIP,UNI,Hibou-B,Prov-GigaPath",concat,0,1,0.829,0.962,0.838,0.962,0.896
dermamnist,224,"PubMedCLIP,UNI,Hibou-B,CheXagent",concat,0,1,0.851,0.963,0.831,0.960,0.906
dermamnist,224,"PubMedCLIP,UNI,Prov-GigaPath,CheXagent",concat,0,1,0.856,0.964,0.834,0.961,0.908
dermamnist,224,"PubMedCLIP,Hibou-B,Prov-GigaPath,CheXagent",concat,0,1,0.857,0.968,0.839,0.961,0.910
dermamnist,224,"rad-dino,UNI,Hibou-B,Prov-GigaPath",concat,0,1,0.836,0.963,0.825,0.963,0.900
dermamnist,224,"rad-dino,UNI,Hibou-B,CheXagent",concat,0,1,0.851,0.967,0.831,0.957,0.907
dermamnist,224,"rad-dino,UNI,Prov-GigaPath,CheXagent",concat,0,1,0.855,0.967,0.831,0.961,0.909
dermamnist,224,"rad-dino,Hibou-B,Prov-GigaPath,CheXagent",concat,0,1,0.850,0.969,0.841,0.962,0.908
dermamnist,224,"UNI,Hibou-B,Prov-GigaPath,CheXagent",concat,0,1,0.859,0.968,0.840,0.962,0.911
dermamnist,224,"BioMedCLIP,CONCH,PubMedCLIP,rad-dino,UNI",concat,0,1,0.830,0.954,0.823,0.961,0.893
dermamnist,224,"BioMedCLIP,CONCH,PubMedCLIP,rad-dino,Hibou-B",concat,0,1,0.838,0.957,0.818,0.957,0.898
dermamnist,224,"BioMedCLIP,CONCH,PubMedCLIP,rad-dino,Prov-GigaPath",concat,0,1,0.833,0.959,0.826,0.963,0.897
dermamnist,224,"BioMedCLIP,CONCH,PubMedCLIP,rad-dino,CheXagent",concat,0,1,0.841,0.964,0.829,0.959,0.902
dermamnist,224,"BioMedCLIP,CONCH,PubMedCLIP,UNI,Hibou-B",concat,0,1,0.842,0.958,0.830,0.959,0.900
dermamnist,224,"BioMedCLIP,CONCH,PubMedCLIP,UNI,Prov-GigaPath",concat,0,1,0.838,0.963,0.826,0.966,0.901
dermamnist,224,"BioMedCLIP,CONCH,PubMedCLIP,UNI,CheXagent",concat,0,1,0.861,0.965,0.842,0.963,0.911
dermamnist,224,"BioMedCLIP,CONCH,PubMedCLIP,Hibou-B,Prov-GigaPath",concat,0,1,0.826,0.962,0.827,0.965,0.895
dermamnist,224,"BioMedCLIP,CONCH,PubMedCLIP,Hibou-B,CheXagent",concat,0,1,0.849,0.968,0.840,0.963,0.907
dermamnist,224,"BioMedCLIP,CONCH,PubMedCLIP,Prov-GigaPath,CheXagent",concat,0,1,0.847,0.967,0.839,0.966,0.906
dermamnist,224,"BioMedCLIP,CONCH,rad-dino,UNI,Hibou-B",concat,0,1,0.842,0.962,0.820,0.959,0.902
dermamnist,224,"BioMedCLIP,CONCH,rad-dino,UNI,Prov-GigaPath",concat,0,1,0.835,0.964,0.829,0.965,0.900
dermamnist,224,"BioMedCLIP,CONCH,rad-dino,UNI,CheXagent",concat,0,1,0.855,0.966,0.834,0.963,0.909
dermamnist,224,"BioMedCLIP,CONCH,rad-dino,Hibou-B,Prov-GigaPath",concat,0,1,0.838,0.966,0.828,0.964,0.902
dermamnist,224,"BioMedCLIP,CONCH,rad-dino,Hibou-B,CheXagent",concat,0,1,0.859,0.968,0.841,0.965,0.911
dermamnist,224,"BioMedCLIP,CONCH,rad-dino,Prov-GigaPath,CheXagent",concat,0,1,0.850,0.965,0.842,0.965,0.906
dermamnist,224,"BioMedCLIP,CONCH,UNI,Hibou-B,Prov-GigaPath",concat,0,1,0.846,0.966,0.838,0.967,0.905
dermamnist,224,"BioMedCLIP,CONCH,UNI,Hibou-B,CheXagent",concat,0,1,0.865,0.970,0.839,0.965,0.914
dermamnist,224,"BioMedCLIP,CONCH,UNI,Prov-GigaPath,CheXagent",concat,0,1,0.866,0.970,0.837,0.966,0.914
dermamnist,224,"BioMedCLIP,CONCH,Hibou-B,Prov-GigaPath,CheXagent",concat,0,1,0.865,0.971,0.844,0.967,0.915
dermamnist,224,"BioMedCLIP,PubMedCLIP,rad-dino,UNI,Hibou-B",concat,0,1,0.837,0.956,0.823,0.960,0.897
dermamnist,224,"BioMedCLIP,PubMedCLIP,rad-dino,UNI,Prov-GigaPath",concat,0,1,0.833,0.962,0.834,0.965,0.898
dermamnist,224,"BioMedCLIP,PubMedCLIP,rad-dino,UNI,CheXagent",concat,0,1,0.852,0.965,0.840,0.963,0.907
dermamnist,224,"BioMedCLIP,PubMedCLIP,rad-dino,Hibou-B,Prov-GigaPath",concat,0,1,0.836,0.960,0.827,0.963,0.898
dermamnist,224,"BioMedCLIP,PubMedCLIP,rad-dino,Hibou-B,CheXagent",concat,0,1,0.854,0.964,0.838,0.964,0.907
dermamnist,224,"BioMedCLIP,PubMedCLIP,rad-dino,Prov-GigaPath,CheXagent",concat,0,1,0.856,0.966,0.836,0.964,0.909
dermamnist,224,"BioMedCLIP,PubMedCLIP,UNI,Hibou-B,Prov-GigaPath",concat,0,1,0.841,0.963,0.839,0.967,0.902
dermamnist,224,"BioMedCLIP,PubMedCLIP,UNI,Hibou-B,CheXagent",concat,0,1,0.862,0.968,0.844,0.965,0.912
dermamnist,224,"BioMedCLIP,PubMedCLIP,UNI,Prov-GigaPath,CheXagent",concat,0,1,0.852,0.969,0.839,0.966,0.908
dermamnist,224,"BioMedCLIP,PubMedCLIP,Hibou-B,Prov-GigaPath,CheXagent",concat,0,1,0.866,0.966,0.842,0.966,0.913
dermamnist,224,"BioMedCLIP,rad-dino,UNI,Hibou-B,Prov-GigaPath",concat,0,1,0.839,0.967,0.835,0.965,0.903
dermamnist,224,"BioMedCLIP,rad-dino,UNI,Hibou-B,CheXagent",concat,0,1,0.858,0.967,0.839,0.965,0.910
dermamnist,224,"BioMedCLIP,rad-dino,UNI,Prov-GigaPath,CheXagent",concat,0,1,0.857,0.971,0.837,0.967,0.911
dermamnist,224,"BioMedCLIP,rad-dino,Hibou-B,Prov-GigaPath,CheXagent",concat,0,1,0.862,0.970,0.844,0.966,0.913
dermamnist,224,"BioMedCLIP,UNI,Hibou-B,Prov-GigaPath,CheXagent",concat,0,1,0.863,0.969,0.839,0.969,0.913
dermamnist,224,"CONCH,PubMedCLIP,rad-dino,UNI,Hibou-B",concat,0,1,0.822,0.961,0.821,0.957,0.893
dermamnist,224,"CONCH,PubMedCLIP,rad-dino,UNI,Prov-GigaPath",concat,0,1,0.833,0.961,0.823,0.958,0.898
dermamnist,224,"CONCH,PubMedCLIP,rad-dino,UNI,CheXagent",concat,0,1,0.854,0.966,0.828,0.958,0.908
dermamnist,224,"CONCH,PubMedCLIP,rad-dino,Hibou-B,Prov-GigaPath",concat,0,1,0.832,0.959,0.828,0.961,0.896
dermamnist,224,"CONCH,PubMedCLIP,rad-dino,Hibou-B,CheXagent",concat,0,1,0.844,0.963,0.826,0.959,0.903
dermamnist,224,"CONCH,PubMedCLIP,rad-dino,Prov-GigaPath,CheXagent",concat,0,1,0.842,0.967,0.838,0.960,0.904
dermamnist,224,"CONCH,PubMedCLIP,UNI,Hibou-B,Prov-GigaPath",concat,0,1,0.842,0.964,0.830,0.962,0.903
dermamnist,224,"CONCH,PubMedCLIP,UNI,Hibou-B,CheXagent",concat,0,1,0.858,0.966,0.836,0.959,0.910
dermamnist,224,"CONCH,PubMedCLIP,UNI,Prov-GigaPath,CheXagent",concat,0,1,0.845,0.968,0.837,0.965,0.905
dermamnist,224,"CONCH,PubMedCLIP,Hibou-B,Prov-GigaPath,CheXagent",concat,0,1,0.858,0.970,0.835,0.961,0.911
dermamnist,224,"CONCH,rad-dino,UNI,Hibou-B,Prov-GigaPath",concat,0,1,0.835,0.966,0.831,0.964,0.901
dermamnist,224,"CONCH,rad-dino,UNI,Hibou-B,CheXagent",concat,0,1,0.861,0.964,0.833,0.960,0.910
dermamnist,224,"CONCH,rad-dino,UNI,Prov-GigaPath,CheXagent",concat,0,1,0.849,0.968,0.843,0.962,0.907
dermamnist,224,"CONCH,rad-dino,Hibou-B,Prov-GigaPath,CheXagent",concat,0,1,0.851,0.971,0.832,0.960,0.909
dermamnist,224,"CONCH,UNI,Hibou-B,Prov-GigaPath,CheXagent",concat,0,1,0.859,0.968,0.836,0.963,0.911
dermamnist,224,"PubMedCLIP,rad-dino,UNI,Hibou-B,Prov-GigaPath",concat,0,1,0.833,0.962,0.836,0.963,0.898
dermamnist,224,"PubMedCLIP,rad-dino,UNI,Hibou-B,CheXagent",concat,0,1,0.850,0.963,0.836,0.958,0.905
dermamnist,224,"PubMedCLIP,rad-dino,UNI,Prov-GigaPath,CheXagent",concat,0,1,0.848,0.965,0.832,0.961,0.905
dermamnist,224,"PubMedCLIP,rad-dino,Hibou-B,Prov-GigaPath,CheXagent",concat,0,1,0.862,0.968,0.835,0.962,0.912
dermamnist,224,"PubMedCLIP,UNI,Hibou-B,Prov-GigaPath,CheXagent",concat,0,1,0.858,0.968,0.840,0.962,0.911
dermamnist,224,"rad-dino,UNI,Hibou-B,Prov-GigaPath,CheXagent",concat,0,1,0.854,0.970,0.838,0.964,0.910
dermamnist,224,"BioMedCLIP,CONCH,PubMedCLIP,rad-dino,UNI,Hibou-B",concat,0,1,0.835,0.960,0.828,0.959,0.898
dermamnist,224,"BioMedCLIP,CONCH,PubMedCLIP,rad-dino,UNI,Prov-GigaPath",concat,0,1,0.838,0.964,0.832,0.965,0.901
dermamnist,224,"BioMedCLIP,CONCH,PubMedCLIP,rad-dino,UNI,CheXagent",concat,0,1,0.851,0.965,0.835,0.965,0.907
dermamnist,224,"BioMedCLIP,CONCH,PubMedCLIP,rad-dino,Hibou-B,Prov-GigaPath",concat,0,1,0.843,0.964,0.826,0.965,0.903
dermamnist,224,"BioMedCLIP,CONCH,PubMedCLIP,rad-dino,Hibou-B,CheXagent",concat,0,1,0.854,0.964,0.841,0.966,0.907
dermamnist,224,"BioMedCLIP,CONCH,PubMedCLIP,rad-dino,Prov-GigaPath,CheXagent",concat,0,1,0.856,0.968,0.839,0.965,0.910
